MovieId;Title;Character1;PersonName1;Sex1;ActorId1;Character2;PersonName2;Sex2;ActorId2;Character3;PersonName3;Sex3;ActorId3;Character4;PersonName4;Sex4;ActorId4;Overview
165;Back to the Future Part II;Marty McFly / Marty McFly Junior / Marlene McFly;Michael J. Fox;Male;521;Doctor Emmett Brown;Christopher Lloyd;Male;1062;Lorraine McFly;Lea Thompson;Female;1063;Biff Tannen / Griff Tannen;Thomas F. Wilson;Male;1065;Marty and Doc are at it again in this wacky sequel to the 1985 blockbuster as the time-traveling duo head to 2015 to nip some McFly family woes in the bud. But things go awry thanks to bully Biff Tannen and a pesky sports almanac. In a last-ditch attempt to set things straight, Marty finds himself bound for 1955 and face to face with his teenage parents -- again.
207;Dead Poets Society;John Keating;Robin Williams;Male;2157;Todd Anderson;Ethan Hawke;Male;569;Neil Perry;Robert Sean Leonard;Male;2692;Charlie Dalton;Gale Hansen;Male;2693;At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.
89;Indiana Jones and the Last Crusade;Indiana Jones;Harrison Ford;Male;3;Professor Henry Jones;Sean Connery;Male;738;Marcus Brody;Denholm Elliott;Male;656;Elsa;Alison Doody;Female;739;When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana must team up with Marcus Brody, Sallah and Elsa Schneider to follow in his father's footsteps and stop the Nazis from recovering the power of eternal life.
10144;The Little Mermaid;Ariel (voice);Jodi Benson;Female;63978;Sebastian (voice);Samuel E. Wright;Male;67392;Ursula (voice);Pat Carroll;Female;35232;Prince Eric (voice);Christopher Daniel Barnes;Male;31468;This colorful adventure tells the story of an impetuous mermaid princess named Ariel who falls in love with the very human Prince Eric and puts everything on the line for the chance to be with him. Memorable songs and characters -- including the villainous sea witch Ursula.
268;Batman;Bruce Wayne / Batman;Michael Keaton;Male;2232;Jack Napier / The Joker;Jack Nicholson;Male;514;Vicki Vale;Kim Basinger;Female;326;Alexander Knox;Robert Wuhl;Male;4040;"Batman must face his most ruthless nemesis when a deformed madman calling himself ""The Joker"" seizes control of Gotham's criminal underworld."
2978;Ghostbusters II;Dr. Peter Venkman;Bill Murray;Male;1532;Dr. Raymond Stantz;Dan Aykroyd;Male;707;Dana Barrett;Sigourney Weaver;Female;10205;Dr. Egon Spengler;Harold Ramis;Male;1524;Five years after they defeated Gozer, the Ghostbusters are out of business. When Dana begins to have ghost problems again, the boys come out of retirement to aid her and hopefully save New York City from a new paranormal threat.
639;When Harry Met Sally...;Harry Burns;Billy Crystal;Male;7904;Sally Albright;Meg Ryan;Female;5344;Marie;Carrie Fisher;Female;4;Jess;Bruno Kirby;Male;9257;During their travel from Chicago to New York, Harry and Sally debate whether or not sex ruins a friendship between a man and a woman. Eleven years later, and they're still no closer to finding the answer.
16859;Kiki's Delivery Service;Kiki / Ursula (voice);Minami Takayama;Female;68470;Jiji (voice);Rei Sakuma;Female;218144;Tombo (voice);Kappei Yamaguchi;Male;68472;Osono (voice);Keiko Toda;Female;57736;A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.
942;Lethal Weapon 2;Martin Riggs;Mel Gibson;Male;2461;Roger Murtaugh;Danny Glover;Male;2047;Leo Getz;Joe Pesci;Male;4517;Arjen Rudd;Joss Ackland;Male;14324;In the opening chase, Martin Riggs and Roger Murtaugh stumble across a trunk full of Krugerrands. They follow the trail to a South African diplomat who's using his immunity to conceal a smuggling operation. When he plants a bomb under Murtaugh's toilet, the action explodes!
9354;Honey, I Shrunk the Kids;Wayne Szalinski;Rick Moranis;Male;8872;Russell Thompson Sr.;Matt Frewer;Male;40009;Diane Szalinski;Marcia Strassman;Female;57418;Mae Thompson;Kristine Sutherland;Female;57419;The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.
2756;The Abyss;Virgil 'Bud' Brigman;Ed Harris;Male;228;Lindsey Brigman;Mary Elizabeth Mastrantonio;Female;1161;Lieutenant Hiram Coffey;Michael Biehn;Male;2712;Catfish De Vries;Leo Burmester;Male;30151;A civilian oil rig crew is recruited to conduct a search and rescue effort when a nuclear submarine mysteriously sinks. One diver soon finds himself on a spectacular odyssey 25,000 feet below the ocean's surface where he confronts a mysterious force that has the power to change the world or destroy it.
9494;Look Who's Talking;Mollie Jensen;Kirstie Alley;Female;1796;James Ubriacco;John Travolta;Male;8891;Mikey (voice);Bruce Willis;Male;62;Rosie;Olympia Dukakis;Female;3019;Mollie is a single working mother who's out to find the perfect father for her child. Her baby, Mikey, prefers James, a cab driver turned babysitter who has what it takes to make them both happy. But Mollie won't even consider James. It's going to take all the tricks a baby can think of to bring them together before it's too late.
5825;National Lampoon's Christmas Vacation;Clark;Chevy Chase;Male;54812;Ellen;Beverly D'Angelo;Female;821;Audry;Juliette Lewis;Female;3196;Rusty;Johnny Galecki;Male;16478;It's Christmastime, and the Griswolds are preparing for a family seasonal celebration. But things never run smoothly for Clark, his wife Ellen, and their two kids. Clark's continual bad luck is worsened by his obnoxious family guests, but he manages to keep going, knowing that his Christmas bonus is due soon.
8913;Pet Sematary;Louis Creed;Dale Midkiff;Male;56265;Jud Crandall;Fred Gwynne;Male;56266;Rachel Creed;Denise Crosby;Female;1743;Victor Pascow;Brad Greenquist;Male;56267;"Dr. Louis Creed's family moves into the country house of their dreams and discover a pet cemetery at the back of their property. The cursed burial ground deep in the woods brings the dead back to life -- with ""minor"" problems. At first, only the family's cat makes the return trip, but an accident forces a heartbroken father to contemplate the unthinkable."
9618;Tango & Cash;Raymond 'Ray' Tango;Sylvester Stallone;Male;16483;Gabriel 'Gabe' Cash;Kurt Russell;Male;6856;Katherine 'Kiki' Tango;Teri Hatcher;Female;10742;Yves Perret;Jack Palance;Male;3785;Ray Tango and Gabriel Cash are narcotics detectives who, while both being extremely successful, can't stand each other. Crime Lord Yves Perret, furious at the loss of income that Tango and Cash have caused him, frames the two for murder. Caught with the murder weapon on the scene of the crime, the two have no alibi. Thrown into prison with most of the criminals they helped convict, it appears that they are going to have to trust each other if they are to clear their names and catch the evil Perret.
709;Licence to Kill;James Bond;Timothy Dalton;Male;10669;Pam Bouvier;Carey Lowell;Female;10679;Franz Sanchez;Robert Davi;Male;2055;Lupe Lamora;Talisa Soto;Female;10680;After capturing the notorious drug lord Franz Sanchez, Bond's close friend and former CIA agent Felix Leiter is left for dead and his wife is murdered. Bond goes rogue and seeks vengeance on those responsible, as he infiltrates Sanchez's organization from the inside.
1648;Bill & Ted's Excellent Adventure;Ted Logan;Keanu Reeves;Male;6384;Bill S. Preston;Alex Winter;Male;18355;Rufus;George Carlin;Male;15903;Abraham Lincoln;Robert V. Barron;Male;157502;Bill and Ted are high school buddies starting a band. They are also about to fail their history class—which means Ted would be sent to military school—but receive help from Rufus, a traveller from a future where their band is the foundation for a perfect society. With the use of Rufus' time machine, Bill and Ted travel to various points in history, returning with important figures to help them complete their final history presentation.
2604;Born on the Fourth of July;Ron Kovic;Tom Cruise;Male;500;Mr. Kovic;Raymond J. Barry;Male;10361;Mrs. Kovic;Caroline Kava;Female;26466;Jenny;Holly Marie Combs;Female;26469;The biography of Ron Kovic. Paralyzed in the Vietnam war, he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country he fought for.
