MovieId;Title;Character1;PersonName1;Sex1;ActorId1;Character2;PersonName2;Sex2;ActorId2;Character3;PersonName3;Sex3;ActorId3;Character4;PersonName4;Sex4;ActorId4;Overview
37165;The Truman Show;Truman Burbank;Jim Carrey;Male;206;Meryl Burbank / Hannah Gill;Laura Linney;Female;350;Marlon / Louis Coltrane;Noah Emmerich;Male;11315;Lauren / Sylvia Garland;Natascha McElhone;Female;11317;Truman Burbank is the star of The Truman Show, a 24-hour-a-day reality TV show that broadcasts every aspect of his life without his knowledge. His entire life has been an unending soap opera for consumption by the rest of the world. And everyone he knows, including his wife and his best friend is really an actor, paid to be part of his life.
857;Saving Private Ryan;Captain John H. Miller;Tom Hanks;Male;31;Technical Sergeant Michael Horvath;Tom Sizemore;Male;3197;Private Richard Reiben;Edward Burns;Male;12833;Private James Francis Ryan;Matt Damon;Male;1892;As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.
73;American History X;Derek Vinyard;Edward Norton;Male;819;Danny Vinyard;Edward Furlong;Male;820;Doris Vinyard;Beverly D'Angelo;Female;821;Murray;Elliott Gould;Male;827;Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.
115;The Big Lebowski;Jeffrey 'The Dude' Lebowski;Jeff Bridges;Male;1229;Walter Sobchak;John Goodman;Male;1230;Theodore Donald 'Donny' Kerabatsos;Steve Buscemi;Male;884;Maude Lebowski;Julianne Moore;Female;1231;Jeffrey 'The Dude' Lebowski, a Los Angeles slacker who only wants to bowl and drink White Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.
10674;Mulan;Mulan (voice);Ming-Na Wen;Female;21702;Mushu (voice);Eddie Murphy;Male;776;Shang (voice);BD Wong;Male;14592;Shan-Yu (voice);Miguel Ferrer;Male;15860;A tomboyish girl disguises herself as a young man so she can fight with the Imperial Chinese Army against the invading Huns. With help from wise-cracking dragon Mushu, Mulan just might save her country -- and win the heart of handsome Captain Li Shang.
9487;A Bug's Life;Flik (voice);Dave Foley;Male;21290;Hopper (voice);Kevin Spacey;Male;1979;Atta (voice);Julia Louis-Dreyfus;Female;15886;Dot (voice);Hayden Panettiere;Female;17265;"On behalf of ""oppressed bugs everywhere,"" an inventive ant named Flik hires a troupe of warrior bugs to defend his bustling colony from a horde of freeloading grasshoppers led by the evil-minded Hopper."
95;Armageddon;Harry S. Stamper;Bruce Willis;Male;62;Dan Truman;Billy Bob Thornton;Male;879;A.J. Frost;Ben Affleck;Male;880;Grace Stamper;Liv Tyler;Female;882;When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise.
100;Lock, Stock and Two Smoking Barrels;Tom;Jason Flemyng;Male;973;Soap;Dexter Fletcher;Male;974;Eddie;Nick Moran;Male;975;Bacon;Jason Statham;Male;976;A card shark and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.
36647;Blade;Eric Brooks / Blade;Wesley Snipes;Male;10814;Deacon Frost;Stephen Dorff;Male;10822;Abraham Whistler;Kris Kristofferson;Male;10823;Dr. Karen Jenson;N'Bushe Wright;Female;10824;"The Daywalker known as ""Blade"" - a half-vampire, half-mortal man - becomes the protector of humanity against an underground army of vampires."
544;There's Something About Mary;Mary Jensen;Cameron Diaz;Female;6941;Ted Stroehmann;Ben Stiller;Male;7399;Pat Healy;Matt Dillon;Male;2876;Tucker/Norman Phipps;Lee Evans;Male;7400;For Ted, prom night went about as bad as it’s possible for any night to go. Thirteen years later, he finally gets another chance with his old prom date, only to run up against other suitors including the sleazy detective he hired to find her.
297;Meet Joe Black;Joe Black / Young Man in Coffee Shop;Brad Pitt;Male;287;William Parrish;Anthony Hopkins;Male;4173;Susan Parrish;Claire Forlani;Female;4174;Drew;Jake Weber;Male;4177;"When the grim reaper comes to collect the soul of megamogul Bill Parrish, he arrives with a proposition: Host him for a ""vacation"" among the living in trade for a few more days of existence. Parrish agrees, and using the pseudonym Joe Black, Death begins taking part in Parrish's daily agenda and falls in love with the man's daughter. Yet when Black's holiday is over, so is Parrish's life."
8916;Antz;Z-4195 aka Z (voice);Woody Allen;Male;1243;Princess Bala (voice);Sharon Stone;Female;4430;Chip (voice);Dan Aykroyd;Male;707;Queen (voice);Anne Bancroft;Female;10774;A neurotic worker ant in love with a rebellious princess rises to unlikely stardom when he switches places with a soldier. Signing up to march in a parade, he ends up under the command of a bloodthirsty general. But he's actually been enlisted to fight against a termite army.
9732;The Lion King II: Simba's Pride;Simba (voice);Matthew Broderick;Male;4756;Adult Kiara (voice);Neve Campbell;Female;9206;Kovu (voice);Jason Marsden;Male;61983;Timon (voice);Nathan Lane;Male;78729;The circle of life continues for Simba, now fully grown and in his rightful place as the king of Pride Rock. Simba and Nala have given birth to a daughter, Kiara who's as rebellious as her father was. But Kiara drives her parents to distraction when she catches the eye of Kovu, the son of the evil lioness, Zira. Will Kovu steal Kiara's heart?
1878;Fear and Loathing in Las Vegas;Raoul Duke;Johnny Depp;Male;85;Dr. Gonzo / Oscar Z. Acosta;Benicio del Toro;Male;1121;Hitchhiker;Tobey Maguire;Male;2219;Lucy;Christina Ricci;Female;6886;Raoul Duke and his attorney Dr. Gonzo drive a red convertible across the Mojave desert to Las Vegas with a suitcase full of drugs to cover a motorcycle race. As their consumption of drugs increases at an alarming rate, the stoned duo trash their hotel room and fear legal repercussions. Duke begins to drive back to L.A., but after an odd run-in with a cop, he returns to Sin City and continues his wild drug binge.
2109;Rush Hour;Chief Inspector Lee;Jackie Chan;Male;18897;Detective James Carter;Chris Tucker;Male;66;Sang;Ken Leung;Male;2131;Thomas Griffin;Tom Wilkinson;Male;207;When Hong Kong Inspector Lee is summoned to Los Angeles to investigate a kidnapping, the FBI doesn't want any outside help and assigns cocky LAPD Detective James Carter to distract Lee from the case. Not content to watch the action from the sidelines, Lee and Carter form an unlikely partnership and investigate the case themselves.
9342;The Mask of Zorro;Alejandro Murrieta / Zorro;Antonio Banderas;Male;3131;Don Diego de la Vega / Zorro;Anthony Hopkins;Male;4173;Elena Montero / Elena Murrieta;Catherine Zeta-Jones;Female;1922;Don Rafael Montero;Stuart Wilson;Male;14344;It has been twenty years since Don Diego de la Vega fought Spanish oppression in Alta California as the legendary romantic hero, Zorro. Having escaped from prison he transforms troubled bandit Alejandro into his successor, in order to foil the plans of the tyrannical Don Rafael Montero who robbed him of his freedom, his wife and his precious daughter.
9820;The Parent Trap;Hallie Parker / Annie James;Lindsay Lohan;Female;49265;Nick Parker;Dennis Quaid;Male;6065;Elizabeth James;Natasha Richardson;Female;20162;Meredith Blake;Elaine Hendrix;Female;55422;Hallie Parker and Annie James are identical twins separated at a young age because of their parents' divorce. Unknowingly to their parents, the girls are sent to the same summer camp where they meet, discover the truth about themselves, and then plot with each other to switch places.
9313;The Man in the Iron Mask;King Louis XIV / Philippe;Leonardo DiCaprio;Male;6193;Aramis;Jeremy Irons;Male;16940;Porthos;Gérard Depardieu;Male;16927;D'Artagnan;Gabriel Byrne;Male;5168;Years have passed since the Three Musketeers, Aramis, Athos and Porthos, have fought together with their friend, D'Artagnan. But with the tyrannical King Louis using his power to wreak havoc in the kingdom while his twin brother, Philippe, remains imprisoned, the Musketeers reunite to abduct Louis and replace him with Philippe.
9837;The Prince of Egypt;Moses / God (voice);Val Kilmer;Male;5576;Ramesses II (voice);Ralph Fiennes;Male;5469;Zipporah (voice);Michelle Pfeiffer;Female;1160;Miriam (voice);Sandra Bullock;Female;18277;This is the extraordinary tale of two brothers named Moses and Ramses, one born of royal blood, and one an orphan with a secret past. Growing up the best of friends, they share a strong bond of free-spirited youth and good-natured rivalry. But the truth will ultimately set them at odds, as one becomes the ruler of the most powerful empire on earth, and the other the chosen leader of his people! Their final confrontation will forever change their lives and the world.
