MovieId;Title;Character1;PersonName1;Sex1;ActorId1;Character2;PersonName2;Sex2;ActorId2;Character3;PersonName3;Sex3;ActorId3;Character4;PersonName4;Sex4;ActorId4;Overview
550;Fight Club;The Narrator;Edward Norton;Male;819;Tyler Durden;Brad Pitt;Male;287;Marla Singer;Helena Bonham Carter;Female;1283;"Robert ""Bob"" Paulson";Meat Loaf;Male;7470;"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion."
603;The Matrix;Thomas A. Anderson / Neo;Keanu Reeves;Male;6384;Morpheus;Laurence Fishburne;Male;2975;Trinity;Carrie-Anne Moss;Female;530;Agent Smith;Hugo Weaving;Male;1331;Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.
497;The Green Mile;Paul Edgecomb;Tom Hanks;Male;31;"Brutus ""Brutal"" Howell";David Morse;Male;52;Jan Edgecomb;Bonnie Hunt;Female;5149;John Coffey;Michael Clarke Duncan;Male;61981;A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.
1893;Star Wars: Episode I - The Phantom Menace;Qui-Gon Jinn;Liam Neeson;Male;3896;Obi-Wan Kenobi;Ewan McGregor;Male;3061;Padmé Amidala;Natalie Portman;Female;524;Anakin Skywalker;Jake Lloyd;Male;33196;Anakin Skywalker, a young slave strong with the Force, is discovered on Tatooine. Meanwhile, the evil Sith have returned, enacting their plot for revenge against the Jedi.
863;Toy Story 2;Woody (voice);Tom Hanks;Male;31;Buzz Lightyear (voice);Tim Allen;Male;12898;Jessie the Yodeling Cowgirl (voice);Joan Cusack;Female;3234;Stinky Pete the Prospector (voice);Kelsey Grammer;Male;7090;Andy heads off to Cowboy Camp, leaving his toys to their own devices. Things shift into high gear when an obsessive toy collector named Al McWhiggen, owner of Al's Toy Barn kidnaps Woody. Andy's toys mount a daring rescue mission, Buzz Lightyear meets his match and Woody has to decide where he and his heart truly belong.
14;American Beauty;Lester Burnham;Kevin Spacey;Male;1979;Carolyn Burnham;Annette Bening;Female;516;Jane Burnham;Thora Birch;Female;2155;Ricky Fitts;Wes Bentley;Male;8210;Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.
745;The Sixth Sense;Malcolm Crowe;Bruce Willis;Male;62;Cole Sear;Haley Joel Osment;Male;9640;Lynn Sear;Toni Collette;Female;3051;Anna Crowe;Olivia Williams;Female;11616;Following an unexpected tragedy, a child psychologist named Malcolm Crowe meets an nine year old boy named Cole Sear, who is hiding a dark secret.
564;The Mummy;Rick O'Connell;Brendan Fraser;Male;18269;Evelyn Carnahan;Rachel Weisz;Female;3293;Jonathan Carnahan;John Hannah;Male;10727;Imhotep;Arnold Vosloo;Male;16743;Dashing legionnaire Rick O'Connell stumbles upon the hidden ruins of Hamunaptra while in the midst of a battle to claim the area in 1920s Egypt. It has been over three thousand years since former High Priest Imhotep suffered a fate worse than death as a punishment for a forbidden love—along with a curse that guarantees eternal doom upon the world if he is ever awoken.
2105;American Pie;Jim Levenstein;Jason Biggs;Male;21593;Chris 'Oz' Ostreicher;Chris Klein;Male;21594;Kevin Meyers;Thomas Ian Nicholas;Male;21403;Michelle Flaherty;Alyson Hannigan;Female;21595;"At a high-school party, four friends find that losing their collective virginity isn't as easy as they had thought. But they still believe that they need to do so before college. To motivate themselves, they enter a pact to all ""score"" by their senior prom."
4951;10 Things I Hate About You;Patrick Verona;Heath Ledger;Male;1810;Katarina Stratford;Julia Stiles;Female;12041;Cameron James;Joseph Gordon-Levitt;Male;24045;Bianca Stratford;Larisa Oleynik;Female;40978;On the first day at his new school, Cameron instantly falls for Bianca, the gorgeous girl of his dreams. The only problem is that Bianca is forbidden to date until her ill-tempered, completely un-dateable older sister Kat goes out, too. In an attempt to solve his problem, Cameron singles out the only guy who could possibly be a match for Kat: a mysterious bad boy with a nasty reputation of his own.
37135;Tarzan;Tarzan (voice);Tony Goldwyn;Male;3417;Jane Porter (voice);Minnie Driver;Female;6613;Kala (voice);Glenn Close;Female;515;Young Tarzan (voice);Alex D. Linz;Male;15789;Tarzan was a small orphan who was raised by an ape named Kala since he was a child. He believed that this was his family, but on an expedition Jane Porter is rescued by Tarzan. He then finds out that he's human. Now Tarzan must make the decision as to which family he should belong to...
2668;Sleepy Hollow;Ichabod Crane;Johnny Depp;Male;85;Katrina Van Tassel;Christina Ricci;Female;6886;Lady Mary Van Tassel / Crone Witch;Miranda Richardson;Female;8436;Baltus Van Tassel;Michael Gambon;Male;5658;New York detective Ichabod Crane is sent to Sleepy Hollow to investigate a series of mysterious deaths in which the victims are found beheaded. Locals believe the culprit to be none other than the legendary Headless Horseman.
509;Notting Hill;Anna Scott;Julia Roberts;Female;1204;William Thacker;Hugh Grant;Male;3291;Bella;Gina McKee;Female;18022;Max;Tim McInnerny;Male;41043;William Thacker is a London bookstore owner whose humdrum existence is thrown into romantic turmoil when famous American actress Anna Scott appears in his shop. A chance encounter over spilled orange juice leads to a kiss that blossoms into a full-blown affair. As the average bloke and glamorous movie star draw closer and closer together, they struggle to reconcile their radically different lifestyles in the name of love.
345;Eyes Wide Shut;Dr. William 'Bill' Harford;Tom Cruise;Male;500;Alice Harford;Nicole Kidman;Female;2227;Victor Ziegler;Sydney Pollack;Male;2226;Helena Harford;Madison Eginton;Female;5006;After Dr. Bill Harford's wife, Alice, admits to having sexual fantasies about a man she met, Bill becomes obsessed with having a sexual encounter. He discovers an underground sexual group and attends one of their meetings -- and quickly discovers that he is in over his head.
10386;The Iron Giant;Hogarth Hughes (voice);Eli Marienthal;Male;116027;Annie Hughes (voice);Jennifer Aniston;Female;4491;Dean McCoppin (voice);Harry Connick Jr.;Male;18688;The Iron Giant (voice);Vin Diesel;Male;12835;In the small town of Rockwell, Maine in October 1957, a giant metal machine befriends a nine-year-old boy and ultimately finds its humanity by unselfishly saving people from their own fears and prejudices.
2667;The Blair Witch Project;Heather;Heather Donahue;Female;26851;Mike;Michael C. Williams;Male;26853;Josh;Joshua Leonard;Male;26852;Interviewee (uncredited);Jim King;Male;81062;In October of 1994 three student filmmakers disappeared in the woods near Burkittsville, Maryland, while shooting a documentary. A year later their footage was found.
10137;Stuart Little;Stuart Little (voice);Michael J. Fox;Male;521;Smokey (voice);Chazz Palminteri;Male;9046;Snowbell (voice);Nathan Lane;Male;78729;Mrs. Eleanor Little;Geena Davis;Female;16935;The adventures of a heroic and debonair stalwart mouse named Stuart Little with human qualities, who faces some comic misadventures while searching for his lost bird friend and living with a human family as their child.
492;Being John Malkovich;Craig Schwartz;John Cusack;Male;3036;John Horatio Malkovich;John Malkovich;Male;6949;Lotte Schwartz;Cameron Diaz;Female;6941;Maxine Lund;Catherine Keener;Female;2229;One day at work, unsuccessful puppeteer Craig finds a portal into the head of actor John Malkovich. The portal soon becomes a passion for anybody who enters its mad and controlling world of overtaking another human body.
2277;Bicentennial Man;Andrew;Robin Williams;Male;2157;Little Miss / Portia;Embeth Davidtz;Female;6368;Sir;Sam Neill;Male;4783;Rupert Burns;Oliver Platt;Male;17485;"Richard Martin buys a gift, a new NDR-114 robot. The product is named Andrew by the youngest of the family's children. ""Bicentennial Man"" follows the life and times of Andrew, a robot purchased as a household appliance programmed to perform menial tasks. As Andrew begins to experience emotions and creative thought, the Martin family soon discovers they don't have an ordinary robot."
3558;Girl, Interrupted;Susanna Kaysen;Winona Ryder;Female;1920;Lisa Rowe;Angelina Jolie;Female;11701;Daisy Randone;Brittany Murphy;Female;328;Georgina Tuskin;Clea DuVall;Female;20387;"Set in the changing world of the late 1960s, Susanna Kaysen's prescribed ""short rest"" from a psychiatrist she had met only once becomes a strange, unknown journey into Alice's Wonderland, where she struggles with the thin line between normal and crazy. Susanna soon realizes how hard it is to get out once she has been committed, and she ultimately has to choose between the world of people who belong inside or the difficult world of reality outside."
8487;Wild Wild West;Capt. James West;Will Smith;Male;2888;U.S. Marshal Artemus Gordon / President Grant;Kevin Kline;Male;8945;Dr. Arliss Loveless;Kenneth Branagh;Male;11181;Rita Escobar;Salma Hayek;Female;3136;Legless Southern inventor Dr. Arliss Loveless plans to rekindle the Civil War by assassinating President U.S. Grant. Only two men can stop him: gunfighter James West and master-of-disguise and inventor Artemus Gordon. The two must team up to thwart Loveless' plans.
1213;The Talented Mr. Ripley;Tom Ripley;Matt Damon;Male;1892;Marge Sherwood;Gwyneth Paltrow;Female;12052;Dickie Greenleaf;Jude Law;Male;9642;Meredith Logue;Cate Blanchett;Female;112;Tom Ripley is a calculating young man who believes it's better to be a fake somebody than a real nobody. Opportunity knocks in the form of a wealthy U.S. shipbuilder who hires Tom to travel to Italy to bring back his playboy son, Dickie. Ripley worms his way into the idyllic lives of Dickie and his girlfriend, plunging into a daring scheme of duplicity, lies and murder.
