MovieId;Title;Character1;PersonName1;Sex1;ActorId1;Character2;PersonName2;Sex2;ActorId2;Character3;PersonName3;Sex3;ActorId3;Character4;PersonName4;Sex4;ActorId4;Overview
27205;Inception;Dom Cobb;Leonardo DiCaprio;Male;6193;Arthur;Joseph Gordon-Levitt;Male;24045;Saito;Ken Watanabe;Male;3899;Eames;Tom Hardy;Male;2524;"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious."
11324;Shutter Island;Teddy Daniels;Leonardo DiCaprio;Male;6193;Chuck Aule;Mark Ruffalo;Male;103;Dr. John Cawley;Ben Kingsley;Male;2282;Rachel Solando;Emily Mortimer;Female;1246;World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by his troubling visions and also by a mysterious doctor.
10138;Iron Man 2;Tony Stark / Iron Man;Robert Downey Jr.;Male;3223;Virginia 'Pepper' Potts;Gwyneth Paltrow;Female;12052;James 'Rhodey' Rhodes / War Machine;Don Cheadle;Male;1896;Natalie Rushman / Natasha Romanoff / Black Widow;Scarlett Johansson;Female;1245;With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.
12444;Harry Potter and the Deathly Hallows: Part 1;Harry Potter;Daniel Radcliffe;Male;10980;Ron Weasley;Rupert Grint;Male;10989;Hermione Granger;Emma Watson;Female;10990;Bellatrix Lestrange;Helena Bonham Carter;Female;1283;Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.
20352;Despicable Me;Gru (voice);Steve Carell;Male;4495;Margo (voice);Miranda Cosgrove;Female;17743;Edith (voice);Dana Gaier;Female;124750;Agnes (voice);Elsie Fisher;Female;122851;Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.
10193;Toy Story 3;Woody (voice);Tom Hanks;Male;31;Buzz Lightyear (voice);Tim Allen;Male;12898;Jessie (voice);Joan Cusack;Female;3234;Mr. Potato Head (voice);Don Rickles;Male;7167;Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.
44214;Black Swan;Nina Sayers / The Swan Queen;Natalie Portman;Female;524;Lily / The Black Swan;Mila Kunis;Female;18973;Thomas Leroy / The Gentleman;Vincent Cassel;Male;1925;Erica Sayers / The Queen;Barbara Hershey;Female;10767;A journey through the psyche of a young ballerina whose starring role as the duplicitous swan queen turns out to be a part for which she becomes frighteningly perfect.
12155;Alice in Wonderland;Alice Kingsleigh;Mia Wasikowska;Female;76070;The Mad Hatter;Johnny Depp;Male;85;The White Queen;Anne Hathaway;Female;1813;The Red Queen;Helena Bonham Carter;Female;1283;Alice, now 19 years old, returns to the whimsical world she first entered as a child and embarks on a journey to discover her true destiny.
10191;How to Train Your Dragon;Hiccup  Horrendous Haddock III (voice);Jay Baruchel;Male;449;Stoick the Vast (voice);Gerard Butler;Male;17276;Gobber the Belch (voice);Craig Ferguson;Male;24264;Astrid Hofferson (voice);America Ferrera;Female;59174;As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father.
23483;Kick-Ass;Dave Lizewski / Kick-Ass;Aaron Taylor-Johnson;Male;27428;Mindy Macready / Hit-Girl;Chloë Grace Moretz;Female;56734;Damon Macready / Big Daddy;Nicolas Cage;Male;2963;Chris D'Amico / Red Mist;Christopher Mintz-Plasse;Male;54691;Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so.
37799;The Social Network;Mark Zuckerberg;Jesse Eisenberg;Male;44735;Eduardo Saverin;Andrew Garfield;Male;37625;Sean Parker;Justin Timberlake;Male;12111;Cameron Winklevoss / Tyler Winklevoss;Armie Hammer;Male;53807;The tale of a new breed of cultural insurgent: a punk genius who sparked a revolution and changed the face of human interaction for a generation, and perhaps forever.
