MovieId;Title;Character1;PersonName1;Sex1;ActorId1;Character2;PersonName2;Sex2;ActorId2;Character3;PersonName3;Sex3;ActorId3;Character4;PersonName4;Sex4;ActorId4;Overview
10112;The Aristocats;O'Malley;Phil Harris;Unknown;57329;Duchess;Eva Gabor;Female;44714;Edgar Balthazar;Roddy Maude-Roxby;Male;127264;Roquefort;Sterling Holloway;Male;34759;When Madame Adelaide Bonfamille leaves her fortune to Duchess and her children—Bonfamille’s beloved family of cats—the butler plots to steal the money and kidnaps the legatees, leaving them out on a country road. All seems lost until the wily Thomas O’Malley Cat and his jazz-playing alley cats come to the aristocats’ rescue.
9394;They Call Me Trinity;Trinity;Terence Hill;Male;15140;Bambino;Bud Spencer;Male;18841;Jonathan;Steffen Zacharias;Male;132262;Tobias;Dan Sturkie;Male;227037;The simple story has the pair coming to the rescue of peace-loving Mormons when land-hungry Major Harriman sends his bullies to harass them into giving up their fertile valley. Trinity and Bambino manage to save the Mormons and send the bad guys packing with slapstick humor instead of excessive violence, saving the day.
1685;Beneath the Planet of the Apes;Brent;James Franciscus;Male;18643;Dr. Zira;Kim Hunter;Female;10539;Dr. Zaius;Maurice Evans;Male;12023;Nova;Linda Harrison;Female;13260;The sole survivor of an interplanetary rescue mission discovers a planet ruled by apes, and an underground city run by telepathic humans.
11202;Patton;Gen. George S. Patton Jr.;George C. Scott;Male;862;Capt. Chester B. Hansen;Stephen Young;Male;40551;Lieutenant Colonel Henry Davenport;Frank Latimore;Male;13733;Field Marshal Erwin Rommel;Karl Michael Vogler;Male;32021;"""Patton"" tells the tale of General George S. Patton, famous tank commander of World War II. The film begins with patton's career in North Africa and progresses through the invasion of Germany and the fall of the Third Reich. Side plots also speak of Patton's numerous faults such his temper and habit towards insubordination."
651;M*A*S*H;Hawkeye Pierce;Donald Sutherland;Male;55636;Trapper John;Elliott Gould;Male;827;Duke Forrest;Tom Skerritt;Male;4139;Maj. Margaret 'Hot Lips' O'Houlihan;Sally Kellerman;Female;9805;The staff of a Korean War field hospital use humor and high jinks to keep their sanity in the face of the horror of war.
26451;Investigation of a Citizen Above Suspicion;Dottore;Gian Maria Volonté;Male;14276;Augusta Terzi;Florinda Bolkan;Female;83259;Police Prefect;Gianni Santuccio;Unknown;585373;Biglia;Orazio Orlando;Male;235572;Rome, Italy. After committing a heinous crime, a senior police officer exposes evidence incriminating him because his moral commitment prevents him from circumventing the law and the social order it protects.
20345;The Bird with the Crystal Plumage;Sam Dalmas;Tony Musante;Male;20564;Julia;Suzy Kendall;Female;93476;Inspector Morosini;Enrico Maria Salerno;Male;32377;Monica Ranieri;Eva Renzi;Female;129431;An American writer living in Rome witnesses an attempted murder that is connected to an ongoing killing spree in the city, and conducts his own investigation despite himself and his girlfriend being targeted by the killer.
11589;Kelly's Heroes;Sergeant First Class Kelly;Clint Eastwood;Male;190;"Master Sergeant ""Big Joe""";Telly Savalas;Male;10169;"Staff Sergeant ""Crapgame""";Don Rickles;Male;7167;Major General Colt;Carroll O'Connor;Male;26512;A misfit group of World War II American soldiers goes AWOL to rob a bank behind German lines.
9062;Love Story;Jennifer Cavilleri;Ali MacGraw;Female;46597;Oliver Barrett IV;Ryan O'Neal;Male;31070;Phil Cavilleri;John Marley;Male;3142;Oliver Barrett III;Ray Milland;Male;7124;Harvard Law student Oliver Barrett IV and music student Jennifer Cavilleri share a chemistry they cannot deny - and a love they cannot ignore. Despite their opposite backgrounds, the young couple put their hearts on the line for each other. When they marry, Oliver's wealthy father threatens to disown him. Jenny tries to reconcile the Barrett men, but to no avail.
8416;The Conformist;Marcello Clerici;Jean-Louis Trintignant;Male;1352;Giulia;Stefania Sandrelli;Female;34027;Manganiello;Gastone Moschin;Male;3281;Anna Quadri;Dominique Sanda;Female;24590;A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.
11657;Le Cercle Rouge;Corey;Alain Delon;Male;15135;Commissioner François Mattei;Bourvil;Male;37131;Vogel;Gian Maria Volonté;Male;14276;Jansen;Yves Montand;Male;2565;When French criminal Corey gets released from prison, he resolves to never return. He is quickly pulled back into the underworld, however, after a chance encounter with escaped murderer Vogel. Along with former policeman and current alcoholic Jansen, they plot an intricate jewel heist. All the while, quirky Police Commissioner Mattei, who was the one to lose custody of Vogel, is determined to find him.
11040;Little Big Man;Jack Crabb;Dustin Hoffman;Male;4483;Mrs. Louise Pendrake;Faye Dunaway;Female;6450;Old Lodge Skins;Chief Dan George;Male;66670;Mr. Merriweather;Martin Balsam;Male;1936;Jack Crabb, looking back from extreme old age, tells of his life being raised by Indians and fighting with General Custer.
13041;El Topo;El Topo;Alejandro Jodorowsky;Male;55119;Son of El Topo;Brontis Jodorowsky;Male;85148;Dying Man;José Legarreta;Unknown;85149;Bandit 1;Alfonso Aráu;Male;22767;El Topo decides to confront warrior Masters on a trans-formative desert journey he begins with his 6 year old son, who must bury his childhood totems to become a man.
11916;Two Mules for Sister Sara;Sara;Shirley MacLaine;Female;4090;Hogan;Clint Eastwood;Male;190;Colonel Beltran;Manolo Fábregas;Male;989373;Gen. LeClaire;Alberto Morin;Male;70939;Hogan, on his way to do some reconnaissance for a future mission to capture a French fort, encounters Sister Sara, a nun in trouble. Before he knows it, Hogan is accompanying Sister Sara in the dangerous frontier while she seeks to achieve a hidden goal.
