MovieId;Title;Character1;PersonName1;Sex1;ActorId1;Character2;PersonName2;Sex2;ActorId2;Character3;PersonName3;Sex3;ActorId3;Character4;PersonName4;Sex4;ActorId4;Overview
157336;Interstellar;Joseph 'Coop' Cooper;Matthew McConaughey;Male;10297;Dr. Amelia Brand;Anne Hathaway;Female;1813;Murphy 'Murph' Cooper;Jessica Chastain;Female;83002;Old Murph Cooper;Ellen Burstyn;Female;9560;The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.
118340;Guardians of the Galaxy;Peter Quill / Star-Lord;Chris Pratt;Male;73457;Gamora;Zoe Saldana;Female;8691;Drax the Destroyer;Dave Bautista;Male;543530;Groot (voice);Vin Diesel;Male;12835;Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.
100402;Captain America: The Winter Soldier;Steve Rogers / Captain America;Chris Evans;Male;16828;Natasha Romanoff / Black Widow;Scarlett Johansson;Female;1245;James 'Bucky' Barnes / Winter Soldier;Sebastian Stan;Male;60898;Sam Wilson / Falcon;Anthony Mackie;Male;53650;After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow, Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemy—the Winter Soldier.
210577;Gone Girl;Nick Dunne;Ben Affleck;Male;880;Amy Elliott Dunne;Rosamund Pike;Female;10882;Desi Collings;Neil Patrick Harris;Male;41686;Tanner Bolt;Tyler Perry;Male;80602;With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.
245891;John Wick;John Wick;Keanu Reeves;Male;6384;Viggo Tarasov;Michael Nyqvist;Male;6283;Iosef Tarasov;Alfie Allen;Male;71586;Ms. Perkins;Adrianne Palicki;Female;88995;Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.
205596;The Imitation Game;Alan Turing;Benedict Cumberbatch;Male;71580;Joan Clarke;Keira Knightley;Female;116;Hugh Alexander;Matthew Goode;Male;1247;Detective Robert Nock;Rory Kinnear;Male;139549;Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.
198663;The Maze Runner;Thomas;Dylan O'Brien;Male;527393;Teresa Agnes;Kaya Scodelario;Female;115150;Minho;Ki Hong Lee;Male;1310760;Alby;Aml Ameen;Male;78062;Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape.
240832;Lucy;Lucy Miller;Scarlett Johansson;Female;1245;Professor Samuel Norman;Morgan Freeman;Male;192;Mr. Jang;Choi Min-sik;Male;64880;Pierre Del Rio;Amr Waked;Male;2960;A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.
177572;Big Hero 6;Baymax (voice);Scott Adsit;Male;66580;Hiro Hamada (voice);Ryan Potter;Male;515510;Tadashi Hamada (voice);Daniel Henney;Male;82093;Fred (voice);T. J. Miller;Male;51990;A special bond develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.
131631;The Hunger Games: Mockingjay - Part 1;Katniss Everdeen;Jennifer Lawrence;Female;72129;Peeta Mellark;Josh Hutcherson;Male;27972;Gale Hawthorne;Liam Hemsworth;Male;96066;Haymitch Abernathy;Woody Harrelson;Male;57755;Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.
127585;X-Men: Days of Future Past;Logan / Wolverine;Hugh Jackman;Male;6968;Charles Xavier / Professor X (Young);James McAvoy;Male;5530;Erik Lehnsherr / Magneto (Young);Michael Fassbender;Male;17288;Raven Darkholme / Mystique;Jennifer Lawrence;Female;72129;The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.
120467;The Grand Budapest Hotel;Monsieur Gustave H.;Ralph Fiennes;Male;5469;Young Zero Moustafa;Tony Revolori;Male;1291350;Dmitri Desgoffe-und-Taxis;Adrien Brody;Male;3490;J.G. Jopling;Willem Dafoe;Male;5293;The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.
