MovieId;Title;Character1;PersonName1;Sex1;ActorId1;Character2;PersonName2;Sex2;ActorId2;Character3;PersonName3;Sex3;ActorId3;Character4;PersonName4;Sex4;ActorId4;Overview
19995;Avatar;Jake Sully;Sam Worthington;Male;65731;Neytiri;Zoe Saldana;Female;8691;Dr. Grace Augustine;Sigourney Weaver;Female;10205;Colonel Miles Quaritch;Stephen Lang;Male;32747;In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.
16869;Inglourious Basterds;"First Lieutenant Aldo ""The Apache"" Raine";Brad Pitt;Male;287;Shosanna Dreyfus / Emmanuelle Mimieux;Mélanie Laurent;Female;19119;"SS Colonel Hans ""The Jew Hunter"" Landa";Christoph Waltz;Male;27319;"Staff Sergeant Donny ""The Bear Jew"" Donowitz";Eli Roth;Male;16847;"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers."
14160;Up;Carl Fredricksen (voice);Ed Asner;Male;68812;Charles F. Muntz (voice);Christopher Plummer;Male;290;Russell (voice);Jordan Nagai;Male;80676;Dug / Alpha (voice);Bob Peterson;Male;10;Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.
767;Harry Potter and the Half-Blood Prince;Harry Potter;Daniel Radcliffe;Male;10980;Ron Weasley;Rupert Grint;Male;10989;Hermione Granger;Emma Watson;Female;10990;Bellatrix Lestrange;Helena Bonham Carter;Female;1283;As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds, Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle, but Dumbledore is more intent upon preparing him for the final battle fast approaching. Together they work to find the key to unlock Voldemorts defenses and to this end, Dumbledore recruits his old friend and colleague Horace Slughorn, whom he believes holds crucial information. Even as the decisive showdown looms, romance blossoms for Harry, Ron, Hermione and their classmates. Love is in the air, but danger lies ahead and Hogwarts may never be the same again.
18785;The Hangover;Phil Wenneck;Bradley Cooper;Male;51329;Stu Price;Ed Helms;Male;27105;Alan Garner;Zach Galifianakis;Male;58225;Doug Billings;Justin Bartha;Male;21180;When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug – who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time.
10528;Sherlock Holmes;Sherlock Holmes;Robert Downey Jr.;Male;3223;Dr. John Watson;Jude Law;Male;9642;Irene Adler;Rachel McAdams;Female;53714;Lord Henry Blackwood;Mark Strong;Male;2983;Eccentric consulting detective Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England.
14161;2012;Jackson Curtis;John Cusack;Male;3036;Adrian Helmsley;Chiwetel Ejiofor;Male;5294;Kate Curtis;Amanda Peet;Female;2956;Carl Anheuser;Oliver Platt;Male;17485;"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world."
19908;Zombieland;Tallahassee;Woody Harrelson;Male;57755;Columbus;Jesse Eisenberg;Male;44735;Wichita;Emma Stone;Female;54693;Little Rock;Abigail Breslin;Female;17140;Columbus has made a habit of running from what scares him. Tallahassee doesn't have fears. If he did, he'd kick their ever-living ass. In a world overrun by zombies, these two are perfectly evolved survivors. But now, they're about to stare down the most terrifying prospect of all: each other.
2080;X-Men Origins: Wolverine;Logan / Wolverine / Weapon X;Hugh Jackman;Male;6968;Victor Creed / Sabretooth;Liev Schreiber;Male;23626;William Stryker;Danny Huston;Male;6413;Kayla Silverfox / Silver Fox;Lynn Collins;Female;21044;After seeking to live a normal life, Logan sets out to avenge the death of his girlfriend by undergoing the mutant Weapon X program and becoming Wolverine.
13475;Star Trek;James T. Kirk;Chris Pine;Male;62064;Spock;Zachary Quinto;Male;17306;Nyota Uhura;Zoe Saldana;Female;8691;Leonard 'Bones' McCoy;Karl Urban;Male;1372;The fate of the galaxy rests in the hands of bitter rivals. One, James Kirk, is a delinquent, thrill-seeking Iowa farm boy. The other, Spock, a Vulcan, was raised in a logic-based society that rejects all emotion. As fiery instinct clashes with calm reason, their unlikely but powerful partnership is the only thing capable of leading their crew through unimaginable danger, boldly going where no one has gone before. The human adventure has begun again.
