MovieId;Title;Character1;PersonName1;Sex1;ActorId1;Character2;PersonName2;Sex2;ActorId2;Character3;PersonName3;Sex3;ActorId3;Character4;PersonName4;Sex4;ActorId4;Overview
122;The Lord of the Rings: The Return of the King;Frodo;Elijah Wood;Male;109;Gandalf;Ian McKellen;Male;1327;Arwen;Liv Tyler;Female;882;Aragorn;Viggo Mortensen;Male;110;Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.
22;Pirates of the Caribbean: The Curse of the Black Pearl;Jack Sparrow;Johnny Depp;Male;85;Will Turner;Orlando Bloom;Male;114;Elizabeth Swann;Keira Knightley;Female;116;Hector Barbossa;Geoffrey Rush;Male;118;Jack Sparrow, a freewheeling 18th-century pirate, quarrels with a rival pirate bent on pillaging Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her.
12;Finding Nemo;Marlin (voice);Albert Brooks;Male;13;Dory (voice);Ellen DeGeneres;Female;14;Nemo (voice);Alexander Gould;Male;12;Gill (voice);Willem Dafoe;Male;5293;Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.
24;Kill Bill: Vol. 1;"Beatrix ""The Bride"" Kiddo";Uma Thurman;Female;139;O-Ren Ishii;Lucy Liu;Female;140;Vernita Green;Vivica A. Fox;Female;2535;Elle Driver;Daryl Hannah;Female;589;An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.
310;Bruce Almighty;Bruce Nolan;Jim Carrey;Male;206;God;Morgan Freeman;Male;192;Grace Connelly;Jennifer Aniston;Female;4491;Jack Baylor;Philip Baker Hall;Male;4492;Bruce Nolan toils as a 'human interest' television reporter in Buffalo, N.Y., but despite his high ratings and the love of his beautiful girlfriend, Bruce remains unfulfilled. At the end of the worst day in his life, he angrily ridicules God—and the Almighty responds, endowing Bruce with all of His divine powers.
604;The Matrix Reloaded;Thomas A. Anderson / Neo;Keanu Reeves;Male;6384;Morpheus;Laurence Fishburne;Male;2975;Trinity;Carrie-Anne Moss;Female;530;Agent Smith;Hugo Weaving;Male;1331;Six months after the events depicted in The Matrix, Neo has proved to be a good omen for the free humans, as more and more humans are being freed from the matrix and brought to Zion, the one and only stronghold of the Resistance.  Neo himself has discovered his superpowers including super speed, ability to see the codes of the things inside the matrix and a certain degree of pre-cognition. But a nasty piece of news hits the human resistance: 250,000 machine sentinels are digging to Zion and would reach them in 72 hours. As Zion prepares for the ultimate war, Neo, Morpheus and Trinity are advised by the Oracle to find the Keymaker who would help them reach the Source.  Meanwhile Neo's recurrent dreams depicting Trinity's death have got him worried and as if it was not enough, Agent Smith has somehow escaped deletion, has become more powerful than before and has fixed Neo as his next target.
36658;X2;Charles Xavier / Professor X;Patrick Stewart;Male;2387;Logan / Wolverine;Hugh Jackman;Male;6968;Eric Lehnsherr / Magneto;Ian McKellen;Male;1327;Anna Marie / Rogue;Anna Paquin;Female;10690;Professor Charles Xavier and his team of genetically gifted superheroes face a rising tide of anti-mutant sentiment led by Col. William Stryker. Storm, Wolverine and Jean Grey must join their usual nemeses—Magneto and Mystique—to unhinge Stryker's scheme to exterminate all mutants.
605;The Matrix Revolutions;Thomas A. Anderson / Neo;Keanu Reeves;Male;6384;Morpheus;Laurence Fishburne;Male;2975;Trinity;Carrie-Anne Moss;Female;530;Agent Smith;Hugo Weaving;Male;1331;The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.
670;Oldboy;Oh Dae-su;Choi Min-sik;Male;64880;Lee Woo-jin;Yoo Ji-tae;Male;10112;Mi-do;Kang Hye-jung;Female;1299317;Mr. Han;Kim Byung-ok;Male;77182;With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate businessman seeks revenge on his captors.
587;Big Fish;Younger Ed Bloom;Ewan McGregor;Male;3061;Older Ed Bloom;Albert Finney;Male;3926;Will Bloom;Billy Crudup;Male;8289;Older Sandra Bloom;Jessica Lange;Female;4431;Throughout his life Edward Bloom has always been a man of big appetites, enormous passions and tall tales. In his later years, he remains a huge mystery to his son, William. Now, to get to know the real man, Will begins piecing together a true picture of his father from flashbacks of his amazing adventures.
