MovieId;Title;Character1;PersonName1;Sex1;ActorId1;Character2;PersonName2;Sex2;ActorId2;Character3;PersonName3;Sex3;ActorId3;Character4;PersonName4;Sex4;ActorId4;Overview
679;Aliens;Lt. Ellen Louise Ripley;Sigourney Weaver;Female;10205;"Rebecca ""Newt"" Jorden";Carrie Henn;Female;10206;Cpl. Dwayne Hicks;Michael Biehn;Male;2712;Carter J. Burke;Paul Reiser;Male;781;When Ripley's lifepod is found by a salvage crew over 50 years later, she finds that terra-formers are on the very planet they found the alien species. When the company sends a family of colonists out to investigate her story—all contact is lost with the planet and colonists. They enlist Ripley and the colonial marines to return and search for answers.
744;Top Gun;Lt. Pete 'Maverick' Mitchell;Tom Cruise;Male;500;Charlotte 'Charlie' Blackwood;Kelly McGillis;Female;11084;Lt. Tom 'Iceman' Kazanski;Val Kilmer;Male;5576;Lt. Nick 'Goose' Bradshaw;Anthony Edwards;Male;11085;"A heart-pounding combination of action, music and incredible aerial photography helped make Top Gun the blockbuster hit. of 1986. Top Gun takes a look at the danger and excitement that awaits every pilot at the Navy's prestigious fighter weapons school. Tom Cruise is superb as Lt. Pete ""Maverick"" Mitchell, a daring young flyer who's out to become the best. And Kelly McGillis sizzles as the civilian instructor who teaches Maverick a few things you can't learn in a classroom."
235;Stand by Me;Gordie Lachance;Wil Wheaton;Male;3033;Chris Chambers;River Phoenix;Male;741;Teddy Duchamp;Corey Feldman;Male;3034;Vern Tessio;Jerry O'Connell;Male;3035;Gordie, Chris, Teddy and Vern are four friends who decide to hike to find the corpse of Ray Brower, a local teenager, who was hit by a train while plucking blueberries in the wild.
9377;Ferris Bueller's Day Off;Ferris Bueller;Matthew Broderick;Male;4756;Cameron Frye;Alan Ruck;Male;2394;Sloane Peterson;Mia Sara;Female;29091;Ed Rooney;Jeffrey Jones;Male;4004;After high school slacker Ferris Bueller successfully fakes an illness in order to skip school for the day, he goes on a series of adventures throughout Chicago with his girlfriend Sloane and best friend Cameron, all the while trying to outwit his wily school principal and fed-up sister.
792;Platoon;Chris;Charlie Sheen;Male;6952;Sgt. Elias;Willem Dafoe;Male;5293;Lerner;Johnny Depp;Male;85;Big Harold;Forest Whitaker;Male;2178;As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man.
9426;The Fly;Seth Brundle;Jeff Goldblum;Male;4785;Veronica Quaife;Geena Davis;Female;16935;Stathis Borans;John Getz;Male;20211;Tawny;Joy Boushel;Female;57626;When Seth Brundle makes a huge scientific and technological breakthrough in teleportation, he decides to test it on himself. Unbeknownst to him, a common housefly manages to get inside the device and the two become one.
10515;Castle in the Sky;Sheeta (voice);Keiko Yokozawa;Female;65509;Pazu (voice);Mayumi Tanaka;Female;65510;Muska (voice);Minori Terada;Male;65511;Dola (voice);Kotoe Hatsui;Female;65512;A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.
793;Blue Velvet;Jeffrey Beaumont;Kyle MacLachlan;Male;6677;Dorothy Vallens;Isabella Rossellini;Female;6588;Frank Booth;Dennis Hopper;Male;2778;Sandy Williams;Laura Dern;Female;4784;The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of criminals who have kidnapped her child.
192;The Name of the Rose;William of Baskerville;Sean Connery;Male;738;Bernardo Gui;F. Murray Abraham;Male;1164;Adso of Melk;Christian Slater;Male;2224;Remigio da Varagine;Helmut Qualtinger;Male;2367;14th-century Franciscan monk William of Baskerville and his young novice arrive at a conference to find that several monks have been murdered under mysterious circumstances. To solve the crimes, William must rise up against the Church's authority and fight the shadowy conspiracy of monastery monks using only his intelligence – which is considerable.
6978;Big Trouble in Little China;Jack Burton;Kurt Russell;Male;6856;Gracie Law;Kim Cattrall;Female;2109;Wang Chi;Dennis Dun;Male;11392;David Lo Pan;James Hong;Male;20904;When trucker Jack Burton agreed to take his friend, Wang Chi, to pick up his fiancee at the airport, he never expected to get involved in a supernatural battle between good and evil. Wang's fiancee has emerald green eyes, which make her a perfect target for immortal sorcerer Lo Pan and his three invincible cronies. Lo Pan must marry a girl with green eyes so he can regain his physical form.
