MovieId;Title;Character1;PersonName1;Sex1;ActorId1;Character2;PersonName2;Sex2;ActorId2;Character3;PersonName3;Sex3;ActorId3;Character4;PersonName4;Sex4;ActorId4;Overview
694;The Shining;Jack Torrance;Jack Nicholson;Male;514;Wendy Torrance;Shelley Duvall;Female;10409;Danny Torrance;Danny Lloyd;Male;10410;Dick Hallorann;Scatman Crothers;Male;7077;Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.
1891;The Empire Strikes Back;Luke Skywalker;Mark Hamill;Male;2;Han Solo;Harrison Ford;Male;3;Princess Leia;Carrie Fisher;Female;4;Lando Calrissian;Billy Dee Williams;Male;3799;The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.
813;Airplane!;Ted Striker;Robert Hays;Male;14416;Elaine Dickinson;Julie Hagerty;Female;14415;Dr. Rumack;Leslie Nielsen;Male;7633;Roger Murdock;Kareem Abdul-Jabbar;Male;14414;The persons and events in this film are fictitious - fortunately! A masterpiece of off-the-wall comedy, Airplane! features Robert Hays as an ex-fighter pilot forced to take over the controls of an airliner when the flight crew succumbs to food poisoning, Julie Hagerty as his girlfriend/stewardess/co-pilot, and a cast of all-stars including Robert Stack, Lloyd Bridges, Peter Graves, Leslie Nielsen, Kareem Abdul-Jabbar... and more. Their hilarious high jinks spoof airplane disaster flicks, religious zealots, television commercials, romantic love... the list whirls by in rapid succession. And the story races from one moment of zany fun to the next.
525;The Blues Brothers;Elwood Blues;Dan Aykroyd;Male;707;'Joliet' Jake Blues;John Belushi;Male;7171;Cleophus James;James Brown;Male;7172;Curtis;Cab Calloway;Male;7173;Jake Blues, just released from prison, puts his old band back togther to save the Catholic home where he and his brother Elwood were raised.
1578;Raging Bull;Jake LaMotta;Robert De Niro;Male;380;Joey LaMotta;Joe Pesci;Male;4517;Vickie LaMotta;Cathy Moriarty;Female;14702;Salvy Batts;Frank Vincent;Male;7164;The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.
1955;The Elephant Man;Dr. Frederick Treves;Anthony Hopkins;Male;4173;John Merrick;John Hurt;Male;5049;Mrs. Kendal;Anne Bancroft;Female;10774;Carr Gomm;John Gielgud;Male;11857;"A Victorian surgeon rescues a heavily disfigured man being mistreated by his ""owner"" as a side-show freak. Behind his monstrous façade, there is revealed a person of great intelligence and sensitivity. Based on the true story of Joseph Merrick (called John Merrick in the film), a severely deformed man in 19th century London."
4488;Friday the 13th;Mrs. Voorhees;Betsy Palmer;Female;37469;Alice;Adrienne King;Female;37470;Bill;Harry Crosby;Male;37471;Brenda;Laurie Bartram;Female;37472;Camp counselors are stalked and murdered by an unknown assailant while trying to reopen a summer camp that was the site of a child's drowning.
8536;Superman II;Lex Luthor;Gene Hackman;Male;193;Superman / Clark Kent;Christopher Reeve;Male;20006;Otis;Ned Beatty;Male;13726;Perry White;Jackie Cooper;Male;55278;Three escaped criminals from the planet Krypton test the Man of Steel's mettle. Led by General Zod, the Kryptonians take control of the White House and partner with Lex Luthor to destroy Superman and rule the world. But Superman, who attempts to make himself human in order to get closer to Lois, realizes he has a responsibility to save the planet.
5689;The Blue Lagoon;Emmeline;Brooke Shields;Female;15110;Richard;Christopher Atkins;Male;42740;Paddy Button;Leo McKern;Male;7192;Arthur Lestrange;William Daniels;Male;10775;Two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. Soon, however, the cook dies and the young boy and girl are left on their own. Days become years and Emmeline and Richard make a home for themselves surrounded by exotic creatures and nature's beauty. But will they ever see civilization again?
8689;Cannibal Holocaust;Professor Harold Monroe;Robert Kerman;Male;55648;Faye Daniels;Francesca Ciardi;Female;55652;Jack Anders;Perry Pirkanen;Male;55649;Mark Tomaso;Luca Barbareschi;Male;55650;A New York University professor returns from a rescue mission to the Amazon rainforest with the footage shot by a lost team of documentarians who were making a film about the area's local cannibal tribes.
