MovieId;Title;Character1;PersonName1;Sex1;ActorId1;Character2;PersonName2;Sex2;ActorId2;Character3;PersonName3;Sex3;ActorId3;Character4;PersonName4;Sex4;ActorId4;Overview
272;Batman Begins;Bruce Wayne / Batman;Christian Bale;Male;3894;Alfred Pennyworth;Michael Caine;Male;3895;Henri Ducard;Liam Neeson;Male;3896;Rachel Dawes;Katie Holmes;Female;3897;Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.
674;Harry Potter and the Goblet of Fire;Harry Potter;Daniel Radcliffe;Male;10980;Ron Weasley;Rupert Grint;Male;10989;Hermione Granger;Emma Watson;Female;10990;Rubeus Hagrid;Robbie Coltrane;Male;1923;When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.
118;Charlie and the Chocolate Factory;Willy Wonka;Johnny Depp;Male;85;Charlie Bucket;Freddie Highmore;Male;1281;Grandpa Joe;David Kelly;Male;1282;Mrs. Bucket;Helena Bonham Carter;Female;1283;A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.
1895;Star Wars: Episode III - Revenge of the Sith;Anakin Skywalker / Darth Vader;Hayden Christensen;Male;17244;Obi-Wan Kenobi;Ewan McGregor;Male;3061;Padmé Amidala;Natalie Portman;Female;524;Chancellor Palpatine / Darth Sidious;Ian McDiarmid;Male;27762;The evil Darth Sidious enacts his final plan for unlimited power -- and the heroic Jedi Anakin Skywalker must choose a side.
953;Madagascar;Alex (voice);Ben Stiller;Male;7399;Marty (voice);Chris Rock;Male;2632;Melman (voice);David Schwimmer;Male;14409;Gloria (voice);Jada Pinkett Smith;Female;9575;Alex the lion is the king of the urban jungle, the main attraction at New York's Central Park Zoo. He and his best friends—Marty the zebra, Melman the giraffe and Gloria the hippo—have spent their whole lives in blissful captivity before an admiring public and with regular meals provided for them. Not content to leave well enough alone, Marty lets his curiosity get the better of him and makes his escape—with the help of some prodigious penguins—to explore the world.
411;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;Lucy Pevensie;Georgie Henley;Female;5526;Edmund Pevensie;Skandar Keynes;Male;5527;Peter Pevensie;William Moseley;Male;5528;Susan Pevensie;Anna Popplewell;Female;5529;Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.
787;Mr. & Mrs. Smith;John Smith;Brad Pitt;Male;287;Jane Smith;Angelina Jolie;Female;11701;Eddie;Vince Vaughn;Male;4937;Benjamin Danz;Adam Brody;Male;11702;After five (or six) years of vanilla-wedded bliss, ordinary suburbanites John and Jane Smith are stuck in a huge rut. Unbeknownst to each other, they are both coolly lethal, highly-paid assassins working for rival organisations. When they discover they're each other's next target, their secret lives collide in a spicy, explosive mix of wicked comedy, pent-up passion, nonstop action and high-tech weaponry.
9738;Fantastic Four;Reed Richards / Mr. Fantastic;Ioan Gruffudd;Male;65524;Sue Storm / Invisible Woman;Jessica Alba;Female;56731;Johnny Storm / Human Torch;Chris Evans;Male;16828;Ben Grimm / The Thing;Michael Chiklis;Male;19654;"During a space voyage, four scientists are altered by cosmic rays: Reed Richards gains the ability to stretch his body, Sue Storm can become invisible, Johnny Storm controls fire, and Ben Grimm is turned into a super-strong … thing. Together, these ""Fantastic Four"" must now thwart the evil plans of Dr. Doom and save the world from certain destruction."
3933;Corpse Bride;Victor Van Dort (voice);Johnny Depp;Male;85;Corpse Bride (voice);Helena Bonham Carter;Female;1283;Victoria Everglot (voice);Emily Watson;Female;1639;Nell Van Dort / Hildegarde (voice);Tracey Ullman;Female;30364;Set in a 19th-century european village, this stop-motion animation feature follows the story of Victor, a young man whisked away to the underworld and wed to a mysterious corpse bride, while his real bride Victoria waits bereft in the land of the living.
74;War of the Worlds;Ray Ferrier;Tom Cruise;Male;500;Rachel Ferrier;Dakota Fanning;Female;501;Mary-Ann;Miranda Otto;Female;502;Robbie Ferrier;Justin Chatwin;Male;503;Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop off his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.
