MovieId;Title;Character1;PersonName1;Sex1;ActorId1;Character2;PersonName2;Sex2;ActorId2;Character3;PersonName3;Sex3;ActorId3;Character4;PersonName4;Sex4;ActorId4;Overview
673;Harry Potter and the Prisoner of Azkaban;Harry Potter;Daniel Radcliffe;Male;10980;Ron Weasley;Rupert Grint;Male;10989;Hermione Granger;Emma Watson;Female;10990;Rubeus Hagrid;Robbie Coltrane;Male;1923;Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.
9806;The Incredibles;Bob Parr / Mr. Incredible (voice);Craig T. Nelson;Male;8977;Helen Parr / Elastigirl (voice);Holly Hunter;Female;18686;Violet Parr (voice);Sarah Vowell;Female;59361;Dashiell 'Dash' Parr (voice);Spencer Fox;Unknown;59360;Bob Parr has given up his superhero days to log in time as an insurance adjuster and raise his three children with his formerly heroic wife in suburbia. But when he receives a mysterious assignment, it's time to get back into costume.
558;Spider-Man 2;Spider-Man / Peter Parker;Tobey Maguire;Male;2219;Mary Jane Watson;Kirsten Dunst;Female;205;Harry Osborn;James Franco;Male;17051;Doc Ock / Otto Octavius;Alfred Molina;Male;658;Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood. A certain anger begins to brew in his best friend Harry Osborn as well...
38;Eternal Sunshine of the Spotless Mind;Joel Barish;Jim Carrey;Male;206;Clementine Kruczynski;Kate Winslet;Female;204;Mary Svevo;Kirsten Dunst;Female;205;Stan Fink;Mark Ruffalo;Male;103;Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.
393;Kill Bill: Vol. 2;"Beatrix ""The Bride"" Kiddo";Uma Thurman;Female;139;Bill;David Carradine;Male;141;Elle Driver;Daryl Hannah;Female;589;Budd;Michael Madsen;Male;147;The Bride unwaveringly continues on her roaring rampage of revenge against the band of assassins who had tried to kill her and her unborn child. She visits each of her former associates one-by-one, checking off the victims on her Death List Five until there's nothing left to do … but kill Bill.
2048;I, Robot;Del Spooner;Will Smith;Male;2888;Susan Calvin;Bridget Moynahan;Female;18354;Sonny;Alan Tudyk;Male;21088;Dr. Alfred Lanning;James Cromwell;Male;2505;In 2035, where robots are commonplace and abide by the three laws of robotics, a technophobic cop investigates an apparent suicide. Suspecting that a robot may be responsible for the death, his investigation leads him to believe that humanity may be in danger.
809;Shrek 2;Shrek (voice);Mike Myers;Male;12073;Donkey (voice);Eddie Murphy;Male;776;Princess Fiona (voice);Cameron Diaz;Female;6941;Queen (voice);Julie Andrews;Female;5823;Shrek, Fiona and Donkey set off to Far, Far Away to meet Fiona's mother and father. But not everyone is happy. Shrek and the King find it hard to get along, and there's tension in the marriage. The fairy godmother discovers that Shrek has married Fiona instead of her Son Prince Charming and sets about destroying their marriage.
11036;The Notebook;"Allison ""Allie"" Hamilton";Rachel McAdams;Female;53714;"Noah ""Duke"" Calhoun";Ryan Gosling;Male;30614;"Old Allison ""Allie"" Hamilton";Gena Rowlands;Female;4800;"Old Noah ""Duke"" Calhoun";James Garner;Male;16896;An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook, the old man's words bring to life the story about a couple who is separated by World War II, and is then passionately reunited, seven years later, after they have taken different paths.
652;Troy;Achilles;Brad Pitt;Male;287;Paris;Orlando Bloom;Male;114;Hector;Eric Bana;Male;8783;King Agamemnon;Brian Cox;Male;1248;In year 1250 B.C. during the late Bronze age, two emerging nations begin to clash. Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnom to help him get her back. Agamemnon sees this as an opportunity for power. So they set off with 1,000 ships holding 50,000 Greeks to Troy. With the help of Achilles, the Greeks are able to fight the never before defeated Trojans.
70;Million Dollar Baby;Maggie Fitzgerald;Hilary Swank;Female;448;Frankie Dunn;Clint Eastwood;Male;190;Eddie 'Scrap-Iron' Dupris;Morgan Freeman;Male;192;Danger Barch;Jay Baruchel;Male;449;Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.
176;Saw;Dr. Lawrence Gordon;Cary Elwes;Male;2130;Adam Faulkner-Stanheight;Leigh Whannell;Male;2128;Detective David Tapp;Danny Glover;Male;2047;Alison Gordon;Monica Potter;Female;2140;Obsessed with teaching his victims the value of life, a deranged, sadistic serial killer abducts the morally wayward. Once captured, they must face impossible choices in a horrific game of survival. The victims must fight to win their lives back, or die trying...
