MovieId;Title;Character1;PersonName1;Sex1;ActorId1;Character2;PersonName2;Sex2;ActorId2;Character3;PersonName3;Sex3;ActorId3;Character4;PersonName4;Sex4;ActorId4;Overview
274;The Silence of the Lambs;Clarice M. Starling;Jodie Foster;Female;1038;Dr. Hannibal Lecter;Anthony Hopkins;Male;4173;Jack Crawford;Scott Glenn;Male;349;Jame 'Buffalo Bill' Gumb;Ted Levine;Male;15854;Clarice Starling is a top student at the FBI's training academy. Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism. Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.
280;Terminator 2: Judgment Day;The Terminator;Arnold Schwarzenegger;Male;1100;Sarah Connor;Linda Hamilton;Female;2713;John Connor;Edward Furlong;Male;820;T-1000;Robert Patrick;Male;418;Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.
10020;Beauty and the Beast;Belle (voice);Paige O'Hara;Female;62050;Beast (voice);Robby Benson;Male;15048;Gaston (voice);Richard White;Male;108055;Lumiere (voice);Jerry Orbach;Male;725;Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.
879;Hook;Captain James S. Hook;Dustin Hoffman;Male;4483;Peter Banning;Robin Williams;Male;2157;Tinkerbell;Julia Roberts;Female;1204;Smee;Bob Hoskins;Male;382;The boy who wasn't supposed grow up—Peter Pan—does just that, becoming a soulless corporate lawyer whose workaholism could cost him his wife and kids. During his trip to see Granny Wendy in London, the vengeful Capt. Hook kidnaps Peter's kids and forces Peter to return to Neverland.
2907;The Addams Family;Gomez Addams;Raúl Juliá;Male;27888;Morticia Addams;Anjelica Huston;Female;5657;Uncle Fester;Christopher Lloyd;Male;1062;Wednesday Addams;Christina Ricci;Female;6886;When a man claiming to be long-lost Uncle Fester reappears after 25 years lost, the family plans a celebration to wake the dead. But the kids barely have time to warm up the electric chair before Morticia begins to suspect Fester is fraud when he can't recall any of the details of Fester's life.
1089;Point Break;Bodhi;Patrick Swayze;Male;723;FBI Special Agent John 'Johnny' Utah;Keanu Reeves;Male;6384;FBI Agent Angelo Pappas;Gary Busey;Male;2048;Tyler Ann Endicott;Lori Petty;Female;15309;In Los Angeles, a gang of bank robbers who call themselves The Ex-Presidents commit their crimes while wearing masks of Reagan, Carter, Nixon and Johnson. Believing that the members of the gang could be surfers, the F.B.I. sends young agent Johnny Utah to the beach undercover to mix with the surfers and gather information.
8367;Robin Hood: Prince of Thieves;Robin of Locksley / Robin Hood;Kevin Costner;Male;1269;Azeem;Morgan Freeman;Male;192;Marian;Mary Elizabeth Mastrantonio;Female;1161;Sheriff of Nottingham;Alan Rickman;Male;4566;When the dastardly Sheriff of Nottingham murders Robin's father, the legendary archer vows vengeance. To accomplish his mission, Robin joins forces with a band of exiled villagers (and comely Maid Marian), and together they battle to end the evil sheriff's reign of terror.
1598;Cape Fear;Max Cady;Robert De Niro;Male;380;Sam Bowden;Nick Nolte;Male;1733;Leigh Bowden;Jessica Lange;Female;4431;Danielle Bowden;Juliette Lewis;Female;3196;Sam Bowden is a small-town corporate attorney. Max Cady is a tattooed, cigar-smoking, Bible-quoting, psychotic rapist. What do they have in common? Fourteen years ago, Sam was a public defender assigned to Max Cady's rape trial, and he made a serious error: he hid a document from his illiterate client that could have gotten him acquitted. Now, the cagey Cady has been released, and he intends to teach Sam Bowden and his family a thing or two about loss.
1541;Thelma & Louise;Thelma Dickinson;Geena Davis;Female;16935;Louise Sawyer;Susan Sarandon;Female;4038;Investigator Hal Slocumb;Harvey Keitel;Male;1037;Jimmy Lennox;Michael Madsen;Male;147;Whilst on a short weekend getaway, Louise shoots a man who had tried to rape Thelma. Due to the incriminating circumstances, they make a run for it and thus a cross country chase ensues for the two fugitives. Along the way, both women rediscover the strength of their friendship and surprising aspects of their personalities and self-strengths in the trying times.
37137;The Naked Gun 2½: The Smell of Fear;Frank Drebin;Leslie Nielsen;Male;7633;Jane Spencer;Priscilla Presley;Female;12949;Captain Ed Hocken;George Kennedy;Male;12950;Nordberg;O.J. Simpson;Male;12951;Bumbling lieutenant Frank Drebin is out to foil the big boys in the energy industry, who intend to suppress technology that will put them out of business.
