year,movieid,adj,noun
1995,9061,black,man
1996,1645,black,man
2009,13975,black,man
2013,76203,black,man
2019,536743,black,man
1990,71853,black,men
2004,12153,black,men
1975,11326,blind,boy
1978,113597,blind,boy
1989,11185,blind,man
2016,300669,blind,man
1997,56783,blue-collar,father
2016,326423,bonding,male
2013,129670,booze-addled,father
1970,28476,bored,boy
1972,360627,boring,husband
2005,9709,born-again,brother
1982,25872,boy,fights
1978,66946,boys,come
1982,23805,bratty,son
2015,321697,brilliant,man
2002,11892,brilliant,men
2001,36269,british,boy
2009,24869,broken,father
1996,26689,brutal,husband
1997,26689,brutal,husband
1996,39434,brutal,man
2002,7090,brutish,father
1991,9585,brutish,husband
1971,994,brutish,men
1973,78076,bulletproof,guy
2010,41402,bullied,boy
1995,11860,business-focused,brother
1975,70810,cannibalistic,son
1992,9475,cantankerous,man
2014,262551,capricious,child
1976,139349,carny,boyfriend
2014,226857,charismatic,boy
2012,113082,charismatic,man
2016,366514,charming,man
2000,3981,chauvinistic,guy
1994,20678,childlike,man
1991,441120,chinese,gentleman
1985,31410,choleric,man
2005,1986,christian,boy
2004,13193,christian,boyfriend
2005,9709,christian,brother
2009,18781,clairvoyant,son
1993,16130,classiest,man
1978,31542,clever,child
1991,1915,clever,guy
1981,32480,clever,man
2017,455661,closeted,boy
1995,38414,clueless,men
1972,121743,clumsy,knight
2013,77805,coercive,husband
2002,29339,coldheartedly,uncle
2002,13163,commitment-averse,man
2005,11604,common,man
2009,11323,common,man
1970,10237,con,man
1987,26719,con,men
1999,497,condemned,man
2010,42888,corporate,guy
1976,42234,correct,gentleman
1991,29811,courageous,man
1988,38909,courteous,gentleman
2005,6957,co-workers,male
1976,49304,crazed,father
1970,69058,crippled,son
1980,214181,current,boyfriend
2001,36269,cute,boy
2002,39227,cute,guy
2002,54005,cuter,guy
1994,40751,cynical,man
2009,22949,dad,uncle
1986,13715,dangerous,man
2008,16353,dangerous,man
1984,32088,dead,brother
1975,27706,dead,child
2016,364116,dead,child
1989,118670,dead,father
1971,53045,dead,father
1985,7011,dead,father
1989,55377,dead,father
1995,26300,dead,father
2004,10740,dead,husband
2008,14098,dead,husband
2021,672741,dead,husband
1975,9652,dead,man
1975,76347,dead,man
1989,78065,dead,man
1991,31633,dead,man
1991,26850,dead,man
2000,11477,dead,man
2010,44982,dead,man
1970,79717,dead,son
1972,42487,dead,son
1997,754,dead,son
2004,8981,deaf,son
1985,10014,deceased,child
2002,10611,deceased,father
1990,26914,deceased,grandfather
1989,9942,deceased,husband
1995,47002,deceased,man
2003,12487,deceased,man
2002,2022,deceased,uncle
2009,12556,deceased,uncle
1980,1955,deformed,man
1983,70084,deformed,man
1992,364,deformed,man
1983,44859,demented,son
1986,56705,demented,son
1979,54013,demonic,child
2021,727293,demonstrative,father
2010,20352,deplorable,guy
1970,67974,depraved,boyfriend
1999,42881,depressed,father
2003,337,depressed,man
2008,10362,depressed,man
1989,56669,deranged,man
2018,475210,desperate,father
1996,23945,desperate,man
1975,20017,detached,man
2015,280996,detective,son
2001,9606,detective,uncle
1984,4274,determined,man
1992,69896,determined,man
2000,98,devious,son
2015,348892,devoted,man
1978,11778,different,men
1986,27995,different,men
2004,12877,dimwitted,brother
2003,13573,disabled,boy
2005,12700,disabled,boy
1981,30931,disabled,man
1989,46786,disabled,man
1996,12498,disabled,man
2003,25516,disabled,man
1987,85160,disabled,son
1979,96424,diseased,uncle
2002,10133,disenchanted,man
2013,78383,dishonest,men
2004,5528,disruptive,boy
1978,2813,dissolute,men
1999,404,distant,brother
1997,43429,distant,father
2007,14748,distressed,child
1973,79181,disturbed,boy
1989,183,disturbed,brother
1978,115867,disturbed,man
1982,69870,disturbed,man
1989,21799,disturbed,man
2002,9613,disturbed,man
2019,450465,disturbed,man
2011,71859,disturbed,son
1988,32033,divorced,father
1994,10486,divorced,father
2001,11456,divorced,father
1998,42674,divorced,husband
2009,52124,divorced,man
1987,2039,doltish,boyfriend
1985,10157,doltish,boy
2006,10025,down-and-out,man
2008,10202,down-on-his-luck,guy
2010,20352,downright,guy
2000,92208,dreamy,boyfriend
1973,47582,driven,man
1991,441127,drowned,man
1977,84898,drowned,son
2001,11091,drug-addicted,father
1982,20980,drug-addicted,male
1971,34462,drug-dealer,boyfriend
1970,46691,drug-dealing,boyfriend
2000,742,drunken,husband
1999,4806,drunken,man
1975,11326,dumb,boy
2012,64689,dumb,guy
2020,590854,duplicitous,man
2021,633515,dutch,boy
2000,4967,dynamic,men
2007,5956,eccentric,boy
1990,39062,eccentric,father
2006,9992,eccentric,grandfather
1993,4104,eccentric,man
2008,18032,eccentric,uncle
2012,77174,eccentric,uncle
2015,256962,eight-year-old,boy
1974,21489,elderly,man
1975,219814,elderly,man
1987,39895,elderly,man
2011,55725,elderly,man
2014,227156,elderly,man
2015,238615,elderly,man
2015,302528,elderly,man
2020,689723,elderly,man
2021,779047,elderly,man
1976,38323,eldest,child
1983,42113,eldest,son
1998,309,eldest,son
2005,32390,eldest,son
2008,25050,eldest,son
2011,8967,eldest,son
2011,80767,eldest,son
2013,244516,eldest,son
1995,6715,eleven-year-old,boy
2010,51991,emotional,man
2001,6440,emotionally-beaten,man
1977,25639,engineered,man
1978,25639,engineered,man
1977,22815,english,boy
1985,147747,enigmatic,man
2004,24653,enigmatic,man
2006,18615,enigmatic,man
2018,491584,enigmatic,man
1976,42234,erotic,man
2005,6961,escort,male
2013,238628,estonian,man
2010,59468,estranged,child
1977,19050,estranged,father
1986,13715,estranged,father
2003,12146,estranged,father
