year,movieid,adj,noun
1981,31921,beautiful,wife
1989,48524,beautiful,wife
1991,26956,beautiful,wife
1994,27066,beautiful,wife
1994,50346,beautiful,wife
1996,9568,beautiful,wife
1998,63067,beautiful,wife
1999,2900,beautiful,wife
2009,17335,beautiful,wife
2011,50646,beautiful,wife
2011,71880,beautiful,wife
2012,64635,beautiful,wife
2015,253161,beautiful,wife
1970,5185,beautiful,woman
1970,22480,beautiful,woman
1972,3426,beautiful,woman
1972,27116,beautiful,woman
1973,70781,beautiful,woman
1974,74143,beautiful,woman
1975,9652,beautiful,woman
1975,29128,beautiful,woman
1976,37774,beautiful,woman
1976,37455,beautiful,woman
1976,107300,beautiful,woman
1976,29955,beautiful,woman
1977,5781,beautiful,woman
1977,45004,beautiful,woman
1977,369816,beautiful,woman
1979,26538,beautiful,woman
1979,340540,beautiful,woman
1980,197158,beautiful,woman
1981,197158,beautiful,woman
1981,77146,beautiful,woman
1983,23096,beautiful,woman
1983,104338,beautiful,woman
1984,5968,beautiful,woman
1984,19400,beautiful,woman
1984,255745,beautiful,woman
1985,11954,beautiful,woman
1985,214439,beautiful,woman
1988,21733,beautiful,woman
1988,36778,beautiful,woman
1989,17819,beautiful,woman
1991,1600,beautiful,woman
1991,59053,beautiful,woman
1993,18215,beautiful,woman
1994,8467,beautiful,woman
1995,9348,beautiful,woman
1996,9716,beautiful,woman
1996,11239,beautiful,woman
1996,28121,beautiful,woman
1997,12616,beautiful,woman
2000,16225,beautiful,woman
2001,2144,beautiful,woman
2002,56474,beautiful,woman
2003,52345,beautiful,woman
2003,5889,beautiful,woman
2003,18538,beautiful,woman
2003,62276,beautiful,woman
2004,8849,beautiful,woman
2005,11227,beautiful,woman
2010,45649,beautiful,woman
2017,321612,beautiful,woman
2018,396461,beautiful,woman
2020,606876,beautiful,woman
2021,672322,beautiful,woman
2016,301365,beauty-obsessed,woman
2006,53486,bedridden,mother
1974,39844,bed-ridden,mother
1972,4792,beloved,daughter
2012,76492,beloved,daughter
1994,15477,beloved,girlfriend
1981,42145,beloved,wife
1997,10336,beloved,wife
2002,11468,beloved,wife
2015,274854,beloved,wife
2018,500664,beloved,wife
2021,758866,beloved,wife
1974,38359,beloved,woman
1996,8818,beloved,woman
2021,802443,bestselling,female
2006,13002,better,lady
1971,56259,biker,female
1987,64437,bimbo,girlfriend
1976,139349,biological,daughter
1995,11448,biological,mother
2013,87567,biological,mother
1973,30885,bisexual,female
1974,30885,bisexual,female
1992,66599,black,daughter
1993,1607,black,girl
1974,22048,black,woman
1993,12121,black,woman
1996,9400,black,woman
2001,1365,black,woman
2019,536743,black,woman
1987,62491,black-sheep,sister
1983,236041,blind,girl
1980,197158,blind,woman
1981,197158,blind,woman
2017,345923,blind,woman
1974,27392,blue-eyed,woman
1986,18499,body,female
2003,10735,bohemian,mother
1985,8130,bored,housewife
1977,31139,bossy,woman
2000,19348,boxer,female
2014,250538,brash,woman
1998,18937,brave,girl
2004,11045,brazilian,female
2008,12400,brazilian,wife
2003,10159,brazilian,woman
1972,21036,bright,girl
2001,9880,bright,girl
2019,568160,bright,girl
1991,10020,bright,woman
2007,5857,bright,woman
1990,48745,brilliant,woman
2016,381284,brilliant,woman
1979,21666,british,girl
1993,11236,british,girl
1977,81471,british,lady
1981,103071,british,woman
1984,15927,british,woman
2010,37710,british,woman
1985,2189,budding,female
1974,50958,busty,girlfriend
2012,84204,by-the-book,woman
2011,58235,call,girl
1998,53113,cancer-stricken,mother
1978,94832,cannibal,female
2013,152603,capricious,sister
2007,15261,captain,female
2007,11807,care-free,woman
1996,41240,carolinian,mother
1979,57355,cat,girl
1999,18417,challenged,girl
1984,40775,charismatic,daughter
2011,53319,charming,sister
1981,51178,charming,wife
1970,96144,cheating,wife
1990,29514,cheating,wife
2012,72387,chinese,girl
1973,51429,chinese,woman
1993,9261,chinese,woman
1993,19931,chinese,woman
2019,565310,chinese-american,woman
2006,82,chinese-cuban,wife
1996,10684,chopper,female
1995,37062,clad,woman
1993,2259,clairvoyant,wife
1991,20096,clairvoyant,woman
2010,57243,class-conscious,woman
2018,548066,clean,girl
1977,369816,clever,woman
1999,10402,clients,female
2009,34653,close,girl
2008,12620,clueless,woman
1984,30438,clumsy,wife
1973,31624,coed,female
1982,11915,colleague,female
1989,36672,colleague,female
1992,14603,college-age,girlfriend
2003,61630,colombian,girl
1990,57917,comely,girl
1970,17978,companion,female
1982,48311,companion,female
1986,52886,companion,female
2011,64678,complicated,girl
2016,427989,conceited,daughter
1985,11018,concerned,wife
2003,24164,conflicted,woman
1996,3573,congenial,lady
2013,87567,conservative,mother
2003,11820,conservative,woman
1993,50687,cop,female
1998,10216,countless,woman
1985,35144,courageous,girl
1992,44103,courageous,woman
2016,326423,co-workers,female
1995,28313,crack-addicted,mother
2003,17403,crazed,sister
1990,18129,criminal,mother
1972,4683,criminal,woman
1975,219814,crippled,sister
1975,31121,current,girlfriend
1994,20306,cynical,girlfriend
1997,9845,dangerous,woman
1970,70422,daredevil,woman
1977,106774,dead,aunt
1980,36599,dead,girl
1972,54284,dead,mother
1979,15227,dead,mother
1988,17170,dead,mother
1989,10160,dead,mother
1993,44562,dead,mother
2017,426285,dead,mother
1974,86889,dead,wife
1984,70410,dead,wife
1985,41243,dead,wife
2020,606234,dead,wife
1973,58411,dead,woman
1984,97975,dead,woman
2003,237,dead,woman
1991,2742,dead-eyed,wife
2005,148,deaf,girl
1984,15144,deals,girl
1980,53950,deceased,aunt
2013,76617,deceased,grandmother
1989,51110,deceased,mother
1997,45609,deceased,mother
1972,18250,deceased,wife
1972,30566,deceased,wife
1978,8070,deceased,wife
1985,41243,deceased,wife
2010,38368,deceased,wife
2013,109431,deceptively,woman
1971,31382,decrepit,woman
1997,9407,defensive,female
